"Date","Surname","Forenames","DOB","DOD","VIAF","Sex","Orientation","Orientation URL","Indigenous affilication","Indigenous affilication URL","RSNZ bio",,"Wikipedia name"
1993,"Ralph","Raymond Keith",,,,,,,,,,,
2009,"Ramsay","Raylene Lammas",,,,,,,,,,,
1994,"Reeve","Anthony Edmund",,,,,,,,,,,
1978,"Reid","Campbell Stuart Wemyss",1922,1996,,,,,,,,,
1997,"Reid","Ian Reginald",,,,,,,,,,,
2008,"Reyners","Martin Everardus",1950,,,,,,,,,,"Martin Reyners"
1959,"Richardson","Laurence Robert",1911,1988,,,,,,,,,
1955,"Richdale","Lancelot Eric",1900,1983,,,,,,,,,
2001,"Richards","Mark",,,,,,,,,,,
1932,"Rigg","Theodore",1888,1972,,,,,,,,,
1961,"Robb","Douglas",1899,1974,,,,,,,,,
2008,"Roberts","Michael George",,,,,,,,,,,
1963,"Robertson","Edwin Ian",,,,,,,,,,,
1950,"Robertson","Philip W.",1885,1969,,,,,,,,,
1999,"Robinson","Brian Harford",,,,,,,,,,,
1964,"Robinson","James Roper",1914,2007,,,,,,,,,
1978,"Robinson","Marion Frances",1923,2003,,,,,,,,,
1987,"Robinson","Ward Thomas",,,,,,,,,,,
1991,"Robinson","William Henry",1938,2011,,,,,,,,,
2009,"Rodrigo","Allen Gerard",,,,,,,,,,,
2007,"Ronson","Clive William",,,,,,,,,,,
1984,"Roper","Warren Richard",,,,,,,,,,,
1988,"Roughan","Phillip Grattan",,,,,,,,,,,
1996,"Rumball","William",,,,,,,,,,,
"Original","Rutherford","Ernest",1871,1937,,,,,,,,,
2003,"Ryan","David Murray",,,,,,,,,,,
1956,"Sainsbury","G. O. K.",1880,1957,,,,,,,,,
2007,"Salcic","Zoran",,,,,,,,,,,
1949,"Salmon","John Tenison",1910,1999,,,,,,,,,
1990,"Salmond","Anne",,,,"female",,,,,,,
1998,"Sandle","Weston James",,,,,,,,,,,
1979,"Satchell","Geoffrey Harold",1921,2000,,,,,,,,,
2011,"Savage","Martha Lucille Kane",,,,"female",,,,,,,
1961,"Sayers","Edward George",1902,1985,,,,,,,,,
2011,"Schenk","Susan",,,,"female",,,,,,,
2014,"Schiel","David R",,,,,,,,,,,
1997,"Schwerdtfeger","Peter Adolf",,,,,,,,,,,
1990,"Scott","Alastair John",,,,,,,,,,,
2010,"Scott","Barry",,,,,,,,,,,
1987,"Scott","John",,,,,,,,,,,
1997,"Seber","George Arthur Frederick",,,,,,,,,,,
1944,"Seelye","Frederick Thomas",1879,1955,,,,,,,,,
"Original","Segar","Hugh William",1868,1954,,,,,,,,,
2013,"Semple","Charles Alexander",,,,,,,,,,,
2008,"Seymour","Gregory John",,,,,,,,,,,
2005,"Sharpe","Norman",,,,,,,,,,,
1998,"Shepherd","Maxwell Gilbert",,,,,,,,,,,
1951,"Shorland","Francis Brian",1909,1999,,,,,,,,,
1993,"Sibson","Richard Hugh",,,,,,,,,,,
1949,"Simpson","George",1880,1952,,,,,,,,,
2002,"Singh","Harjinder",,,,,,,,,,,
1992,"Skegg","David Christopher Graham",,,,,,,,,,,
1927,"Skinner","Henry Devenish",1886,1978,,,,,,,,,
1977,"Skinner","Robert Ivan",1923,2014,,,,,,,,,
1983,"Slack","Charles Roger",,,,,,,,,,,
2009,"Smillie","John Alexander",,,,,,,,,,,
1995,"Smith","Anne Briar",,,,"female",,,,,,,
1971,"Smith","John Norman",1919,1991,,,,,,,,,
2002,"Smith","Robin Andrew James",,,,,,,,,,,
"Original","Smith","Stephenson Percy",1890,1922,,,,,,,,,
1924,"Smith","William Herbert Guthrie",1891,1940,,,,,,,,,
2005,"Sneyd","James Robert",,,,,,,,,,,
1922,"Sommerville","Duncan M’Laren Young",1879,1934,,,,,,,,,
1949,"Soper","Frederick George",1898,1982,,,,,,,,,
1980,"Speden","Ian Gordon",,,,,,,,,,,
"Original","Speight","Robert",1867,1949,,,,,,,,,
2009,"Spencer","Hamish Gordon",,,,,,,,,,,
2011,"Spoonley","Paul",,,,,,,,,,,
1991,"Spörli","Klaus Bernhard",,,,,,,,,,,
1994,"Squire","Vernon Arthur",,,,,,,,,,,
1948,"Stead","Edgar Fraser",1877,1949,,,,,,,,,
1989,"Stedman","Geoffrey Ernest",,,,,,,,,,,
2003,"Steel","Michael Anthony",,,,,,,,,,,
1995,"Steel","Peter James",,,,,,,,,,,
2007,"Stern","Timothy Andrew",,,,,,,,,,,
1976,"Stevens","Graeme Roy",,,,,,,,,,,
1994,"Strongman","Kenneth Thomas",,,,,,,,,,,
2003,"Suckling","David Maxwell",,,,,,,,,,,
1963,"Suggate","Richard Patrick",,,,,,,,,,,
1995,"Sullivan","Patrick Alexander",,,,,,,,,,,
2013,"Sutherland","Rupert",,,,,,,,,,,
1981,"Syers","John Keith",1939,2011,,,,,,,,,
2009,"Taggart","Michael Bruce",1955,2009,,,,,,,,,
1993,"Tallon","Jeffrey Lewis",,,,,,,,,,,
2011,"Tannock","Gerald William",,,,,,,,,,,
1995,"Tate","Kevin Russel",,,,,,,,,,,
1990,"Tate","Warren Perry",,,,,,,,,,,
1997,"Taylor","Desmond Patrick",,,,,,,,,,,
1956,"Taylor","Norman Hargrave",1900,1975,,,,,,,,,
2009,"Tennant","Margaret Anne",,,,,,,,,,,
1995,"Tervit","Harry Robin",,,,,,,,,,,
1989,"Theng","Benny Kian Goan",,,,,,,,,,,
"Original","Thomas","Algernon Phillips Withiel",1857,1937,,,,,,,,,
"Original","Thomson","Hon George Malcolm",1848,1933,,,,,,,,,
"Original","Thomson","James Allan",1881,1928,,,,,,,,,
1995,"Thorns","David Christopher",,,,,,,,,,,
2011,"Thrush","Simon Francis",,,,,,,,,,,
1924,"Tillyard","Robin John",1881,1937,,,,,,,,,
1974,"Titheridge","John Edward",1932,2010,,,,,,,,,
1997,"Townsend","Colin Richard",,,,,,,,,,,
1997,"Trodahl","Harry Joseph",,,,,,,,,,,
1979,"Troughton","John Howard",,,,,,,,,,,
1938,"Turner","Francis John",1904,1985,,,,,,,,,
2008,"Tyler","Peter Charles",,,,,,,,,,,
1988,"Ulyatt","Marcus John",,,,,,,,,,,
1998,"Upton","Simon David",,,,,,,,,,,
1982,"Vere-Jones","David",,,,,,,,,,,
2006,"Visser","Matthew Joseph",,,,,,,,,,,
1996,"Vowles","Jack",,,,,,,,,,,
2004,"Wake","Graeme Charles",,,,,,,,,,,
1982,"Walcott","Richard Irving",,,,,,,,,,,
2003,"Walker","Michael Mathew",,,,,,,,,,,
1972,"Wallace","Lindsay Russell",1918,2011,,,,,,,,,
1981,"Walls","Daniel Frank",1942,1999,,,,,,,,,
1961,"Walsh","John",,2003,,,,,,,,,
2013,"Walter","Richard Knowles",,,,,,,,,,,
2003,"Wardle","David Albert",,,,,,,,,,,
1977,"Wardle","Peter",1931,2008,,,,,,,,,
1994,"Warrington","Ian James",,,,,,,,,,,
1998,"Waters","Joyce Mary",,,,,,,,,,,
1982,"Waters","Neil",,,,,,,,,,,
1994,"Watkinson","John Herbert",,,,,,,,,,,
1994,"Watson","James Douglas",,,,,,,,,,,
2014,"Watts","Peter George",,,,,,,,,,,
2001,"Wearing","Howard",,,,,,,,,,,
1999,"Weaver","Stephen Donald",,,,,,,,,,,
1994,"Webb","Colin James",,,,,,,,,,,
2002,"Weir","Graham John",,,,,,,,,,,
1989,"Welch","Barry John",,,,,,,,,,,
1954,"Wellman","Harold William",1909,1999,,,,,,,,,
1986,"Wells","Rufus Michael Grant",,,,,,,,,,,
2003,"White","Harvey Douglas",,,,,,,,,,,
1994,"White","Kenneth Geoffrey",,,,,,,,,,,
2012,"Whitehead","David",,,,,,,,,,,
1950,"Whitehead","Hugh R.",1899,1983,,,,,,,,,
2001,"Whittle","Geoffrey Peter",,,,,,,,,,,
1974,"Whittlestone","Walter George",1913,1985,,,,,,,,,
1991,"Wiggins","Philippa Marion",,,,,,,,,,,
2007,"Wild","Christopher John",,,,,,,,,,,
1961,"Willett","Richard Wright",1912,1974,,,,,,,,,
2009,"Williams","David Edward",,,,,,,,,,,
1923,"Williams","Herbert William",1860,1937,,,,,,,,,
2001,"Wilson","Colin James Ness",,,,,,,,,,,
1997,"Wilson","John Bastow",,,,,,,,,,,
1995,"Wilson","Peter Joseph",1933,2005,,,,,,,,,
2001,"Wilson","William Robert",,,,,,,,,,,
2014,"Windsor","John Albert",,,,,,,,,,,
1988,"Winterbourn","Christine Coe",,,,,,,,,,,
1990,"Winterbourn","Michael John",,,,,,,,,,,
1997,"Witten","Ian Hugh",,,,,,,,,,,
1962,"Wodzicki","Kazimierz Antoni z Granowa",1900,1987,,,,,,,,,
1990,"Wood","Ian Ruthven",,,,,,,,,,,
2004,"Wratten","Stephen David",,,,,,,,,,,
1970,"Wybourne","Brian Garner",1935,2003,,,,,,,,,
1998,"Yeates","Gregor William",1944,2012,,,,,,,,,
